tiempo,temperatura,derivada_centrada,derivada_adelante,estado,alerta,camara_id,camara_nombre,producto,ubicacion
0,6.53,,-0.252,Inicializando,Cámara alcanzando temperatura objetivo,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
5,5.27,-0.2,-0.148,Inicializando,Cámara alcanzando temperatura objetivo,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
10,4.53,-0.123,-0.098,Inicializando,Cámara alcanzando temperatura objetivo,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
15,4.04,-0.112,-0.126,Inicializando,Cámara alcanzando temperatura objetivo,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
20,3.41,-0.096,-0.066,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
25,3.08,-0.066,-0.066,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
30,2.75,-0.05,-0.034,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
35,2.58,-0.041,-0.048,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
40,2.34,-0.028,-0.008,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
45,2.3,-0.023,-0.038,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
50,2.11,-0.034,-0.03,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
55,1.96,-0.009,0.012,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
60,2.02,0.003,-0.006,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
65,1.99,0.009,0.024,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
70,2.11,-0.004,-0.032,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
75,1.95,-0.007,0.018,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
80,2.04,0.009,0.0,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
85,2.04,0.001,0.002,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
90,2.05,-0.015,-0.032,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
95,1.89,,,Estado normal,Funcionamiento normal,CAM-01,Cámara 1,Carne vacuna,Sector carnes rojas
