tiempo,temperatura,derivada_centrada,derivada_adelante,estado,alerta,camara_id,camara_nombre,producto,ubicacion
0,6.66,,-0.158,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
5,5.87,-0.149,-0.14,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
10,5.17,-0.14,-0.14,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
15,4.47,-0.116,-0.092,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
20,4.01,-0.02,0.052,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
25,4.27,0.059,0.066,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
30,4.6,0.061,0.056,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
35,4.88,0.034,0.012,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
40,4.94,0.044,0.076,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
45,5.32,0.049,0.022,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
50,5.43,0.031,0.04,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
55,5.63,0.035,0.03,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
60,5.78,0.017,0.004,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
65,5.8,0.041,0.078,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
70,6.19,0.065,0.052,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
75,6.45,0.043,0.034,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
80,6.62,0.048,0.062,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
85,6.93,0.037,0.012,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
90,6.99,0.01,0.008,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
95,7.03,,,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
