tiempo,temperatura,derivada_centrada,derivada_adelante,estado,alerta
0,6.52,,-0.202,Inicializando,Cámara alcanzando temperatura objetivo
5,5.51,-0.181,-0.16,Inicializando,Cámara alcanzando temperatura objetivo
10,4.71,-0.136,-0.112,Inicializando,Cámara alcanzando temperatura objetivo
15,4.15,-0.118,-0.124,Inicializando,Cámara alcanzando temperatura objetivo
20,3.53,0.021,0.166,Estado normal,Funcionamiento normal
25,4.36,0.169,0.172,Alerta crítica,Temperatura por encima del límite permitido
30,5.22,0.192,0.212,Alerta crítica,Temperatura por encima del límite permitido
35,6.28,0.202,0.192,Alerta crítica,Temperatura por encima del límite permitido
40,7.24,0.219,0.246,Alerta crítica,Temperatura por encima del límite permitido
45,8.47,0.234,0.222,Alerta crítica,Temperatura por encima del límite permitido
50,9.58,0.198,0.174,Alerta crítica,Temperatura por encima del límite permitido
55,10.45,0.202,0.23,Alerta crítica,Temperatura por encima del límite permitido
60,11.6,0.225,0.22,Alerta crítica,Temperatura por encima del límite permitido
65,12.7,0.215,0.21,Alerta crítica,Temperatura por encima del límite permitido
70,13.75,0.223,0.236,Alerta crítica,Temperatura por encima del límite permitido
75,14.93,0.193,0.15,Alerta crítica,Temperatura por encima del límite permitido
80,15.68,0.158,0.166,Alerta crítica,Temperatura por encima del límite permitido
85,16.51,0.158,0.15,Alerta crítica,Temperatura por encima del límite permitido
90,17.26,0.172,0.194,Alerta crítica,Temperatura por encima del límite permitido
95,18.23,,,Alerta crítica,Temperatura por encima del límite permitido
